"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"2","OWA19","mrMLM","PstI.TP459121","1","78162835","-0.0141"," 3.8575"," 4.6019"," 0.0000","0.0708","C","1e-04","3e-04"
"2","OWA19","mrMLM","PstI.TP1075817","1","10117174"," 0.0280","12.6603","13.6479","21.8535","0.0167","A","",""
"2","OWA19","mrMLM","NsiI.TP474172","1","62376131","-0.0125"," 8.1978"," 9.0948","17.4437","0.1542","C","",""
"2","OWA19","mrMLM","NsiI.TP58591","1","11198433"," 0.0060"," 5.0416"," 5.8394"," 8.0227","0.3083","A","",""
"2","OWA19","mrMLM","NsiI.TP444479","2","69620402"," 0.0152"," 6.4683"," 7.3167","23.1256","0.0250","C","",""
"2","OWA19","mrMLM","NsiI.TP468343","3","70187996","-0.0038"," 3.7355"," 4.4735"," 2.4089","0.3167","A","",""
"2","OWA19","mrMLM","PstI.TP1040489","4"," 4932783","-0.0168"," 3.1268"," 3.8301"," 3.9938","0.0292","A","",""
"2","OWA19","mrMLM","NsiI.TP111617","5","61371701","-0.0069"," 5.2485"," 6.0544"," 2.2850","0.1292","C","",""
"2","OWA19","mrMLM","NsiI.TP129565","9","44786093"," 0.0064"," 5.0868"," 5.8864"," 8.8945","0.1083","A","",""
"2","OWA19","FASTmrMLM","NsiI.TP806172","2","58871698","0.0049","4.3529","5.1213","3.921","0.2869","C","1e-04","3e-04"
"2","OWA19","FASTmrMLM","PstI.TP1040489","4","4932783","-0.0204","8.1337","9.0291","9.2999","0.0287","A","",""
"2","OWA19","FASTmrMLM","NsiI.TP208625","8","50606712","0.0124","3.6017","4.3326","38.5407","0.041","A","",""
"2","OWA19","FASTmrMLM","NsiI.TP169382","9","55737180","0.0075","6.154","6.9922","3.0233","0.377","C","",""
"2","OWA19","FASTmrMLM","PstI.TP334601","11","2644","-0.0079","5.8832","6.7122","4.6347","0.0902","A","",""
"2","OWA19","FASTmrMLM","PstI.TP1250222","11","8799","-0.0122","7.7705","8.6565","4.9038","0.0492","C","",""
"2","OWA19","FASTmrMLM","NsiI.TP150122","11","10788","-0.0103","4.6284","5.409","5.8105","0.0656","A","",""
"2","OWA19","pLARmEB","PstI.TP57213","1","59006419","0.0079","4.0658","4.8206","6.556","0.127","C","1e-04","3e-04"
"2","OWA19","pLARmEB","PstI.TP678255","1","67745947","-0.0053","4.3444","5.1124","1.1919","0.2623","A","",""
"2","OWA19","pLARmEB","GFSSContig7996_485","6","54332713","0.0051","3.0954","3.7967","3.4747","0.3238","T","",""
"2","OWA19","pLARmEB","NsiI.TP349989","9","48138","-0.0039","3.4051","4.125","0.3393","0.2049","A","",""
"2","OWA19","pLARmEB","NsiI.TP169382","9","55737180","0.0034","3.627","4.3592","0.2535","0.377","C","",""
"2","OWA19","pLARmEB","PstI.TP334601","11","2644","-0.0078","3.0602","3.7593","1.821","0.0902","A","",""
"2","OWA19","pLARmEB","PstI.TP349163","11","2748","-0.0074","4.8414","5.631","1.6565","0.168","A","",""
"2","OWA19","pLARmEB","NsiI.TP60110","11","9843","0.0111","6.1932","7.0327","2.7168","0.1516","A","",""
"2","OWA19","ISIS EM-BLASSO","PstI.TP1094695","1","67135061","0.0088","6.0442","6.8787","23.1753","0.123","C","1e-04","3e-04"
"2","OWA19","ISIS EM-BLASSO","NsiI.TP554032","3","50563424","0.0052","4.2354","4.9983","9.6979","0.2254","A","",""
"2","OWA19","ISIS EM-BLASSO","PstI.TP334601","11","2644","-0.0104","5.9281","6.7587","8.7066","0.0902","A","",""
"2","OWA19","ISIS EM-BLASSO","NsiI.TP150122","11","10788","-0.0111","5.219","6.0238","7.2503","0.0656","A","",""
