"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen(total)"
"14","Trait14","FASTmrEMMA","NsiI.TP727162","5","15122057","3.2958e-05","3.8178","4.5602","0.1524","0.1447","G","0","0"
"14","Trait14","pLARmEB","PstI.TP166501","1","18793961","2.2945e-05","4.0499","4.8039","0","0.1579","A","0","0"
"14","Trait14","pLARmEB","NsiI.TP337751","1","60167980","-4.1148e-05","3.2459","3.9564","4.209","0.3947","C","",""
"14","Trait14","pLARmEB","PstI.TP110885","6","47190301","3.6051e-05","5.1467","5.9487","0.7073","0.1447","A","",""
"14","Trait14","pLARmEB","NsiI.TP45237","11","9692","-3.1327e-05","3.4118","4.1321","2.0769","0.4868","A","",""
"14","Trait14","ISIS EM-BLASSO","NsiI.TP337751","1","60167980","-3.948e-05","5.9653","6.7971","3.8746","0.3947","C","0","0"
"14","Trait14","ISIS EM-BLASSO","PstI.TP967613","3","4724304","-1.0163e-05","3.8848","4.6306","0.1499","0.0833","A","",""
"14","Trait14","ISIS EM-BLASSO","NsiI.TP452950","4","59507302","3.6137e-05","7.3098","8.1832","0.3652","0.1754","G","",""
"14","Trait14","ISIS EM-BLASSO","PstI.TP1164097","10","1543675","-2.6143e-05","3.0883","3.7892","1.7679","0.2456","A","",""
"14","Trait14","ISIS EM-BLASSO","PstI.TP954118","11","6658","1.7582e-05","4.0708","4.8258","0.3635","0.0702","A","",""
