"","Name","Chromosome","Position","SRD","rrBLUP.SRD"
"11513","NsiI.TP620354",1,2563,0,1
"26733","PstI.TP453248",1,3988,0,1
"166","GFSSContig17137_1860",1,35412,0,1
"167","GFSSContig17137_940",1,36536,0.230280847087226,0.588462988384304
"17884","PstI.TP1112203",1,63590,0.147768186482164,0.711593239674039
"27575","PstI.TP506588",1,80675,0,1
"35082","PstI.TP989644",1,80828,0.592726841147364,0.255430738407076
"24404","PstI.TP312105",1,81356,0.0865507723081948,0.819311833833776
"8429","NsiI.TP481742",1,154583,0.113203936234209,0.770541552783751
"33021","PstI.TP863331",1,161269,0.318481525200968,0.48030651194655
"13510","NsiI.TP71772",1,180079,0.209115597375936,0.617851922876728
"11286","NsiI.TP611047",1,185165,0,1
"11285","NsiI.TP611046",1,185173,0.226440766515914,0.593689316037061
"18897","PstI.TP1169914",1,194807,0,1
"15925","NsiI.TP96063",1,195779,1.20071305066617,0.0629922250930813
"9477","NsiI.TP521153",1,258294,0.0320062956047407,0.928952920426937
"23766","PstI.TP271714",1,262844,0.0574286578336719,0.87613562984658
"26335","PstI.TP424788",1,263370,0,1
"32080","PstI.TP811380",1,281841,0.360326665139645,0.436187619709915
"34198","PstI.TP931820",1,284314,0,1
"6848","NsiI.TP426085",1,284999,0,1
"1313","NsiI.TP148773",1,285352,0.363668336110504,0.432844261225463
"1314","NsiI.TP148774",1,285397,0,1
"24197","PstI.TP301730",1,298129,1.14082330286041,0.0723063929698769
"30292","PstI.TP710662",1,335281,0,1
"10713","NsiI.TP579900",1,335878,0,1
"16709","PstI.TP1043924",1,365760,0.291908883515657,0.510612116926381
"16710","PstI.TP1043926",1,365816,0.0798098670630743,0.832127994730064
"6445","NsiI.TP414280",1,378096,1.11888678172906,0.0760524515811861
"15194","NsiI.TP807695",1,389941,0.242190280334716,0.572545123014692
"12942","NsiI.TP687955",1,398596,0,1
"34491","PstI.TP948856",1,403321,2.79509710155008,0.00160288696981015
"16587","PstI.TP1037554",1,403777,0.148296541539193,0.710728054198557
"17810","PstI.TP1106845",1,416796,0,1
"812","NsiI.TP122940",1,430012,0.271660109750812,0.534982887235534
"13231","NsiI.TP703893",1,450123,0.0409597402282997,0.909997626912966
"16420","PstI.TP1026667",1,480929,0,1
"6430","NsiI.TP413787",1,481003,0.0690027434810911,0.853094724917021
"10912","NsiI.TP591161",1,512907,0.0368677225046212,0.918612345000146
"3473","NsiI.TP260303",1,526218,0.131649271688798,0.738500388832577
"1533","NsiI.TP160827",1,542721,0.0243898053096069,0.945388237875357
"26340","PstI.TP425356",1,569039,0.399159342911353,0.398878526735416
"35248","PstI.TP999740",1,569491,1.08036702911721,0.0831061131367267
"22107","PstI.TP184304",1,572620,0.469718563028577,0.339063809353767
"18224","PstI.TP1132231",1,588023,0.238611864828977,0.577282158212201
"27985","PstI.TP536170",1,662254,1.11193701349124,0.0772792656475554
"32864","PstI.TP854736",1,683267,0.350663262025113,0.446001929918598
"32444","PstI.TP83381",1,713539,0.420783414615038,0.37950419891549
"34479","PstI.TP94792",1,731905,0.588394153794025,0.257991766507604
"34724","PstI.TP968891",1,748410,0,1
"15132","NsiI.TP802651",1,754114,0.365267731533581,0.431253138241643
"16611","PstI.TP1039014",1,759496,0.118792243182954,0.760690087126144
"20261","PstI.TP1248576",1,760805,0.661895766510555,0.217823249953432
"3116","NsiI.TP241552",1,773227,0.0897171785000686,0.813360020509269
"3113","NsiI.TP241535",1,773253,0.212548181080681,0.612987782876381
"3845","NsiI.TP282375",1,773642,0.0162899661620775,0.963185716983975
"10278","NsiI.TP559422",1,781613,1.4303060592109,0.0371273490287944
"28449","PstI.TP579974",1,783866,0.187845017456346,0.648865946859589
"17516","PstI.TP1090052",1,815564,0.029976162778715,0.933305525946601
"19719","PstI.TP1216290",1,817784,0.270248894375768,0.536724111365947
"2272","NsiI.TP199750",1,819727,0.549295661559833,0.282295749093315
"11483","NsiI.TP619705",1,820317,0,1
"28009","PstI.TP537601",1,822113,0.389755525819471,0.407609665928616
"10791","NsiI.TP585976",1,829048,0.796376978640706,0.159817017405316
"5254","NsiI.TP358960",1,864806,0.117852545112008,0.762337800681618
"18565","PstI.TP1152021",1,865447,0,1
"21282","PstI.TP139718",1,866121,0,1
"11157","NsiI.TP603024",1,882892,1.6294342757705,0.0234728446358417
"22862","PstI.TP2218",1,905152,0.192548159974508,0.641877038250712
