"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"11","Trait11","mrMLM","PstI.TP84880","1","63680478","-0.3802"," 6.8956"," 7.7570","24.3515","0.1311","C","0.0838","0.3931"
"11","Trait11","mrMLM","PstI.TP460957","2","63153566"," 0.3916"," 6.7356"," 7.5922","19.6927","0.1066","A","",""
"11","Trait11","mrMLM","NsiI.TP583360","2","66047191"," 0.4403"," 5.3240"," 6.1328","10.2935","0.0369","C","",""
"11","Trait11","mrMLM","PstI.TP478050","3","63462498"," 0.4961"," 6.3303"," 7.1742","18.9255","0.0615","C","",""
"11","Trait11","mrMLM","PstI.TP30102","5","68699238","-1.3176","10.0619","11.0015"," 0.0000","0.0123","G","",""
"11","Trait11","mrMLM","PstI.TP292777","7","64227793"," 0.3569"," 3.9764"," 4.7268"," 8.3094","0.0533","A","",""
"11","Trait11","FASTmrMLM","PstI.TP84880","1","63680478","-0.3084","8.2715","9.1704","18.5301","0.129","C","0.0842","0.3931"
"11","Trait11","FASTmrMLM","NsiI.TP583360","2","66047191","0.4942","8.9045","9.8187","14.9979","0.0444","C","",""
"11","Trait11","FASTmrMLM","PstI.TP404112","4","61296221","0.2303","3.8144","4.5566","6.6969","0.0887","A","",""
"11","Trait11","FASTmrMLM","PstI.TP292777","7","64227793","0.3088","5.105","5.9053","7.1921","0.0524","A","",""
"11","Trait11","FASTmrMLM","PstI.TP624488","11","4383","-0.4941","3.8385","4.5819","3.941","0.0524","C","",""
"11","Trait11","FASTmrMLM","PstI.TP1014210","11","7040","-0.4443","7.4815","8.3597","6.2691","0.0565","A","",""
"11","Trait11","FASTmrEMMA","PstI.TP691334","3","4847914","-1.9353","6.0042","6.8374","13.057","0.0202","A","0.1176","0.3931"
"11","Trait11","FASTmrEMMA","PstI.TP738082","10","6556740","-2.5017","7.7584","8.6441","9.3958","0.0121","C","",""
"11","Trait11","FASTmrEMMA","PstI.TP1014210","11","7040","-1.8011","17.5672","18.6238","33.9693","0.0565","A","",""
"11","Trait11","pLARmEB","PstI.TP84880","1","63680478","-0.2549","5.7918","6.6176","1.889","0.129","C","0.0992","0.3931"
"11","Trait11","pLARmEB","PstI.TP460957","2","63153566","0.29","3.4909","4.2156","1.8641","0.1089","A","",""
"11","Trait11","pLARmEB","NsiI.TP583360","2","66047191","0.5135","8.1021","8.9967","2.416","0.0444","C","",""
"11","Trait11","pLARmEB","PstI.TP404112","4","61296221","0.2573","4.0858","4.8416","1.2469","0.0887","A","",""
"11","Trait11","pLARmEB","PstI.TP624488","11","4383","-0.5318","3.5527","4.2809","0.6815","0.0524","C","",""
"11","Trait11","pLARmEB","PstI.TP1014210","11","7040","-0.3635","4.811","5.5994","0.6263","0.0565","A","",""
"11","Trait11","ISIS EM-BLASSO","NsiI.TP583360","2","66047191","0.4841","4.1795","4.9398","14.3922","0.0444","C","0.1152","0.3931"
"11","Trait11","ISIS EM-BLASSO","PstI.TP404112","4","61296221","0.2934","3.3867","4.1055","10.8696","0.0887","A","",""
"11","Trait11","ISIS EM-BLASSO","PstI.TP624488","11","4383","-0.5182","6.2752","7.1174","4.3355","0.0524","C","",""
"11","Trait11","ISIS EM-BLASSO","PstI.TP1014210","11","7040","-0.4384","3.5371","4.2644","6.1047","0.0565","A","",""
