"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"4","Trait4","mrMLM","PstI.TP457393","1","60097068","-0.2651","6.8484","7.7084","21.4951","0.2418","C","0.1397","0.2053"
"4","Trait4","mrMLM","PstI.TP117081","2","45986549"," 0.3872","3.9384","4.6869","30.2405","0.0902","C","",""
"4","Trait4","FASTmrMLM","PstI.TP457393","1","60097068","-0.2144","4.6092","5.389","12.8011","0.246","C","0.127","0.2053"
"4","Trait4","FASTmrMLM","PstI.TP117081","2","45986549","0.3846","5.2222","6.0271","27.161","0.0887","C","",""
"4","Trait4","FASTmrMLM","PstI.TP6058","11","37","0.3507","4.6817","5.4646","20.079","0.0766","G","",""
"4","Trait4","FASTmrEMMA","PstI.TP457393","1","60097068","-0.494","4.6409","5.4221","17.0147","0.246","C","0.1647","0.2053"
"4","Trait4","pLARmEB","PstI.TP1181476","5","2299991","-0.2106","4.1094","4.8663","3.3115","0.2218","A","0.1249","0.2053"
"4","Trait4","pLARmEB","PstI.TP710636","6","45894338","0.2593","3.2393","3.9494","25.6532","0.1895","A","",""
"4","Trait4","pLARmEB","PstI.TP81008","11","677","-0.1186","3.0061","3.7017","5.6642","0.3992","A","",""
"4","Trait4","pKWmEB","PstI.TP710636","6","45894338","0.2745","3.1219","3.8249","49.6533","0.1885","A","0.1186","0.2053"
"4","Trait4","ISIS EM-BLASSO","PstI.TP1181476","5","2299991","-0.2258","4.6572","5.4391","3.8221","0.2218","A","0.1254","0.2053"
"4","Trait4","ISIS EM-BLASSO","PstI.TP710636","6","45894338","0.2994","4.0014","4.753","34.3582","0.1895","A","",""
"4","Trait4","ISIS EM-BLASSO","PstI.TP81008","11","677","-0.14","3.5379","4.2653","7.9211","0.3992","A","",""
