"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"6","Trait6","mrMLM","PstI.TP790069","2"," 699673","2.4836","4.4632","5.2366","47.9019","0.2623","A","5.4642","8.9901"
"6","Trait6","mrMLM","PstI.TP1032333","3","3528771","2.1363","8.2411","9.1392"," 9.5651","0.1352","G","",""
"6","Trait6","FASTmrMLM","PstI.TP790069","2","699673","1.5735","3.4651","4.1884","27.4763","0.2621","A","5.0465","8.9901"
"6","Trait6","FASTmrEMMA","NsiI.TP482264","1","66520178","-1.9252e-05","3.116","3.8186","1.2998e-10","0.0524","A","7.1219","8.9901"
"6","Trait6","FASTmrEMMA","PstI.TP1032333","3","3528771","4.3271","3.4297","4.151","18.1065","0.1411","G","",""
"6","Trait6","pLARmEB","PstI.TP744556","1","76101544","-0.8191","3.8833","4.629","4.2033","0.4073","A","4.721","8.9901"
"6","Trait6","pLARmEB","PstI.TP790069","2","699673","1.9369","5.4993","6.3146","37.5581","0.2621","A","",""
"6","Trait6","pLARmEB","PstI.TP476886","2","55394288","-1.5307","4.6462","5.4276","0","0.2097","C","",""
"6","Trait6","pLARmEB","PstI.TP1032333","3","3528771","2.2507","8.8262","9.7385","13.6872","0.1411","G","",""
"6","Trait6","pKWmEB","PstI.TP1032333","3","3528771","2.1228","7.6012","8.4827","17.0599","0.1352","G","5.2732","8.9901"
"6","Trait6","ISIS EM-BLASSO","PstI.TP476886","2","55394288","-1.8852","5.2152","6.0198","0","0.2097","C","6.0743","8.9901"
"6","Trait6","ISIS EM-BLASSO","PstI.TP1032333","3","3528771","2.3551","7.2745","8.1469","16.6117","0.1411","G","",""
