"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","QTN effect","LOD score","'-log10(P)'","r2 (%)","MAF","Genotype for code 1","Var_error","Var_phen (total)"
"10","Trait10","mrMLM","PstI.TP1020277","1","23246220"," 0.1632"," 5.7722"," 6.5974"," 0.0000","0.0287","C","0.0053","0.0172"
"10","Trait10","mrMLM","PstI.TP229716","2","52006699","-0.1355"," 4.8583"," 5.6486","16.4147","0.0287","A","",""
"10","Trait10","mrMLM","PstI.TP354335","3","50899095","-0.2654"," 7.4097"," 8.2859","32.5595","0.0164","C","",""
"10","Trait10","mrMLM","PstI.TP1134201","9","49341921","-0.2604","13.7853","14.7908","31.3512","0.0205","C","",""
"10","Trait10","FASTmrMLM","PstI.TP229716","2","52006699","-0.196","5.4096","6.2216","39.9469","0.0323","A","0.0089","0.0172"
"10","Trait10","FASTmrMLM","PstI.TP881184","2","76620224","-2.7856e-05","3.7746","4.5147","2.153e-06","0.1008","A","",""
"10","Trait10","FASTmrMLM","PstI.TP1134201","9","49341921","-0.1731","6.7452","7.6021","16.1228","0.0202","C","",""
"10","Trait10","FASTmrMLM","PstI.TP867146","11","6048","-0.0435","3.5143","4.2404","5.2502","0.1089","A","",""
"10","Trait10","FASTmrEMMA","PstI.TP1020277","1","23246220","0.3388","5.2061","6.0103","8.8693","0.0282","C","0.0077","0.0172"
"10","Trait10","FASTmrEMMA","NsiI.TP549004","2","62333756","0.2386","3.0052","3.7008","4.5291","0.0202","C","",""
"10","Trait10","FASTmrEMMA","PstI.TP897409","6","56637189","0.2954","3.0004","3.6956","3.9515","0.0161","C","",""
"10","Trait10","FASTmrEMMA","NsiI.TP161913","9","58496317","0.1838","3.1042","3.806","2.6103","0.0282","A","",""
"10","Trait10","pLARmEB","PstI.TP229716","2","52006699","-0.1946","3.379","4.0974","4.3727","0.0323","A","0.0088","0.0172"
"10","Trait10","pLARmEB","PstI.TP354335","3","50899095","-2.3945e-05","7.4522","8.3296","3.4232e-08","0.0161","C","",""
"10","Trait10","pLARmEB","PstI.TP1134201","9","49341921","-0.17","3.6923","4.4281","1.7261","0.0202","C","",""
"10","Trait10","ISIS EM-BLASSO","PstI.TP1020277","1","23246220","0.2178","4.7461","5.5318","0","0.0282","C","0.0078","0.0172"
"10","Trait10","ISIS EM-BLASSO","PstI.TP229716","2","52006699","-0.1352","3.1242","3.8273","22.58","0.0323","A","",""
"10","Trait10","ISIS EM-BLASSO","PstI.TP354335","3","50899095","-2.3324e-05","8.3477","9.2485","3.478e-07","0.0161","C","",""
"10","Trait10","ISIS EM-BLASSO","PstI.TP1134201","9","49341921","-0.2426","11.7348","12.7065","37.6165","0.0202","C","",""
