"","Name","Chromosome","Position","TFN.","FNMain","FNsmall","HD_1","FD_1","HD_50.","FD_50.","HW_1","FW_1","HW_50","FW_50","GHW_1","GFW_1","GHW_50","GFW_50","HM_1","FM_1","HM_50","FM_50","fprind","fprinW","fprinGW","fprinM","rrBLUP.TFN.","rrBLUP.FNMain","rrBLUP.FNsmall","rrBLUP.HD_1","rrBLUP.FD_1","rrBLUP.HD_50.","rrBLUP.FD_50.","rrBLUP.HW_1","rrBLUP.FW_1","rrBLUP.HW_50","rrBLUP.FW_50","rrBLUP.GHW_1","rrBLUP.GFW_1","rrBLUP.GHW_50","rrBLUP.GFW_50","rrBLUP.HM_1","rrBLUP.FM_1","rrBLUP.HM_50","rrBLUP.FM_50","rrBLUP.fprind","rrBLUP.fprinW","rrBLUP.fprinGW","rrBLUP.fprinM"
"1912","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2753","PstI.TP863331",1,161269,0.468135113532448,0.209099472142281,0.0842343452351203,0.619358781038081,0.586092569072396,0.480656396834641,0.465315278554057,0.614088148272369,0.55757636284017,0.461789954469557,0.459060189712956,0.53132871541484,0.567299699437402,0.467900652063863,0.407180981588854,0.625305784999872,0.523628791360499,0.374563611014551,0.381674390784164,0.482783537208105,0.46437363318351,0.465199003601054,0.578512818784175,0.3403023016433,0.617874863973149,0.823693530173623,0.240237731874552,0.259362647647043,0.330631024758492,0.342519042617932,0.243171039740216,0.276964200482719,0.345310707687733,0.347487999071365,0.294219385835864,0.270832201864932,0.34048606939081,0.391578662285057,0.23697046186305,0.299482333668203,0.422120446636595,0.415265268147646,0.329015579275043,0.343262504477282,0.342610758536824,0.263929041901909
"306","NsiI.TP611047",1,185165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1361","PstI.TP271714",1,262844,1.03709384777335,0.931683881940163,1.32396956188897,0.326538972805659,0.326248503861686,0.273070718003427,0.305758114475972,0.305841436544392,0.316211338974676,0.241112344639655,0.309463978649861,0.22064697004791,0.33311388116522,0.266298997097559,0.334771041462019,0.223813563770588,0.464024565931342,0.270116183370061,0.366817935677156,0.296530503418458,0.287241761625304,0.289298302886521,0.275020423274232,0.0918134173151404,0.117035096633736,0.0474275224310394,0.471477559889802,0.471793003448973,0.533248057385949,0.494586075940062,0.494491195660346,0.482823790266433,0.573967967192804,0.490383694619342,0.601662619170328,0.46439348549728,0.541627869496749,0.462624851330521,0.597291640066035,0.343538515043561,0.536888147713944,0.429716534172087,0.505207159601877,0.516128972305341,0.513690692792682,0.530859479272632
"1742","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2930","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14","NsiI.TP148773",1,285352,0.398555490060284,0.30849460026885,0.0459206117494727,0.72433565782948,0.707008620652621,0.694344133787321,0.70417413103837,0.728737495602861,0.620063168046604,0.619146017433708,0.692542361355067,0.775138757251155,0.635912564866945,0.696272821018651,0.629027405365436,0.657650535704697,0.724720541376441,0.613300897909304,0.847983497761125,0.702693861386607,0.668270962679163,0.681637091347389,0.680020640027734,0.399433522192659,0.491479490893115,0.899662023100197,0.188653272073889,0.196332130494108,0.202141677863782,0.19761771299933,0.186750814397656,0.239848403461847,0.240355454688018,0.202982052024177,0.167826772528154,0.231253031771977,0.201245963840712,0.23494845562096,0.219962913923858,0.18848615649044,0.243612238308711,0.141911144379055,0.19829243168567,0.214649082923947,0.208143526630007,0.208919683853701
"642","PstI.TP1106845",1,416796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1744","PstI.TP425356",1,569039,0.0616915175561949,0.364402578101979,0.129011171099608,0.383800347970864,0.325894870428075,0.403649678438336,0.417126693480263,0.387602920379623,0.328644222790889,0.395204267601617,0.446011580752008,0.453849372119625,0.320701366546391,0.45291558937832,0.484377921941107,0.367229844474156,0.172998118064466,0.364796729175069,0.577474797355085,0.407671077764803,0.426934649326066,0.45439302531239,0.342290126059476,0.867577903672265,0.432113089310105,0.743000025901513,0.413237430100355,0.472177327294605,0.394775617533387,0.382713081006351,0.409635021801426,0.469197594842814,0.402527663510306,0.358086888349625,0.351682394618206,0.477857749527076,0.352439365431109,0.327809909620942,0.429309160571071,0.671431762446122,0.431721095902532,0.264560621806423,0.391137019646427,0.374166886980928,0.3512424313077,0.454684211456641
"3098","PstI.TP999740",1,569491,0.200126215406324,0.325851168447499,0.371118192864843,0.647966129254332,0.721043719021888,0.614333619621556,0.555206728460863,0.64425872668791,0.689306026817449,0.640890357718766,0.553395873677229,0.659408232221911,0.752560931022301,0.593467587771397,0.558220357105743,0.637287359157475,0.906241273643145,0.577201209198254,0.556851200712045,0.588080186092055,0.585849289974744,0.60444277009107,0.677700539925646,0.630774001218899,0.472224843722994,0.425482602656014,0.224923001706097,0.190088691414924,0.243033633764568,0.278479526304524,0.226851300482434,0.204500311175304,0.228617590005291,0.279643111874934,0.219074469034808,0.176782417661167,0.254995438867562,0.276553808026784,0.230522139065891,0.124096269538704,0.264727336925204,0.277427047076724,0.258178345826119,0.259507975735488,0.248632118192951,0.210038766956589
"741","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2369","PstI.TP716618",1,918921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"950","PstI.TP1246584",1,1015480,0.850678648481927,0.669478097454631,0.690348443949174,0.138907314025958,0.146377353000755,0.0752171890248883,0.0914680715802291,0.146521512839136,0.160650945567392,0.0481361301316847,0.10144472384995,0.115048658675041,0.116096807473338,0.0721424671681427,0.170790602458505,0.166587771076735,0.141917629976975,0.170509002021845,0.247944633609555,0.0900607574121741,0.0852980643036722,0.107710673187223,0.167533680698574,0.141033197236432,0.214053287641915,0.204010047069702,0.726260937575853,0.713875778856357,0.840974468320181,0.810087495425431,0.713638854044448,0.690794791574662,0.895084156359661,0.791690212989848,0.767275518429075,0.765425968746675,0.846949532887358,0.6748533336204,0.681415846413051,0.721244260273362,0.675291056470132,0.565009000859827,0.81271680985093,0.821678523276145,0.780349806126999,0.679933312311745
"1583","PstI.TP354591",1,1050082,0.927682093418886,0.639772975207598,0.578892114645581,0.319926495863741,0.344298676554339,0.312055241986245,0.345963784344774,0.33549710645676,0.376189356190296,0.353651706096524,0.378548324751149,0.338965739629993,0.387617851789506,0.2879666688903,0.385447369889369,0.304710287752855,0.375692504503551,0.459658790034703,0.41675218869937,0.333362699121635,0.370511112949851,0.330452392682061,0.338497352415138,0.118118495487097,0.229206550292236,0.263698637198805,0.478711107095716,0.452586216553468,0.487466480728481,0.450854299546178,0.461852069034232,0.420543227881896,0.442943460137068,0.418265144924897,0.458178029770312,0.40962093844664,0.515268188721057,0.41167323302761,0.495780809500002,0.421024622854623,0.34700937649616,0.383043247978743,0.464127499286046,0.426077780746606,0.467248168062374,0.458672441989641
"2734","PstI.TP856852",1,1153760,0.818151550265846,0.367389333489479,0.22707730608231,1.19683942454245,1.33544141814201,1.02391014878645,1.10382506620271,1.13777549759215,1.32827708127459,1.03359707431645,1.08170167961746,1.09012647721868,1.35075322436846,1.01515685993127,1.05977776984986,1.16712749554115,1.2958359845295,1.01057255358925,1.04919469631106,1.09149487597383,1.07327840280991,1.06850688623121,1.18380860028475,0.152001701601455,0.429151531295769,0.592819790992675,0.0635565881688216,0.0461911294775096,0.0946432948686054,0.0787362875559704,0.0728156117299787,0.0469594410268845,0.0925556479878915,0.0828511079236543,0.0812593834421468,0.0445909551992989,0.0965702020512008,0.0871409379408016,0.0680569535020027,0.0506015727607808,0.0975949725855712,0.0892905100329683,0.0810037498856483,0.084473715604493,0.0854069305074405,0.0654924745063928
