"Trait ID","Trait name","Method","RS#","Chromosome","Marker position (bp)","SNP effect","'-log10(P)'","Genotype for code 1"
"1","Trait1","mrMLM","PstI.TP506588","1","80675","1.3103e-05","0.0036","C"
"1","Trait1","mrMLM","PstI.TP863331","1","161269","0.0256","0.3779","A"
"1","Trait1","mrMLM","NsiI.TP611047","1","185165","0.0461","0.5836","A"
"1","Trait1","mrMLM","PstI.TP271714","1","262844","1.626e-05","0.0045","A"
"1","Trait1","mrMLM","PstI.TP424788","1","263370","-4.7e-06","0.0013","A"
"1","Trait1","mrMLM","PstI.TP931820","1","284314","-1.1011e-06","3e-04","A"
"1","Trait1","mrMLM","NsiI.TP148773","1","285352","4.5998e-06","0.0013","A"
"1","Trait1","mrMLM","NsiI.TP579900","1","335878","-0.0501","0.4971","G"
"1","Trait1","mrMLM","PstI.TP425356","1","569039","9.0578e-06","0.0025","C"
"1","Trait1","mrMLM","PstI.TP999740","1","569491","-1.5748e-05","0.0044","A"
"1","Trait1","mrMLM","NsiI.TP802651","1","754114","-2.5548e-05","0.0071","C"
"1","Trait1","mrMLM","NsiI.TP585976","1","829048","-1.1104e-05","0.0031","C"
"1","Trait1","mrMLM","PstI.TP1152021","1","865447","3.7539e-06","0.001","A"
"1","Trait1","mrMLM","PstI.TP716618","1","918921","0.0213","0.2595","G"
"1","Trait1","mrMLM","PstI.TP1246584","1","1015480","-0.0134","0.3882","C"
"1","Trait1","mrMLM","PstI.TP354591","1","1050082","3.3019e-05","0.0092","C"
"1","Trait1","mrMLM","PstI.TP856852","1","1153760","1.3051e-05","0.0036","G"
"1","Trait1","mrMLM","PstI.TP1010387","1","1174408","-5.2966e-07","1e-04","C"
"1","Trait1","mrMLM","PstI.TP775725","1","1175417","-1.2415e-05","0.0034","A"
"1","Trait1","mrMLM","NsiI.TP72077","1","1422420","-1.0202e-05","0.0028","A"
"1","Trait1","mrMLM","PstI.TP13650","1","1521127","-1.8876e-05","0.0052","A"
"1","Trait1","mrMLM","PstI.TP329515","1","1537490","-0.0238","0.5492","C"
"1","Trait1","mrMLM","PstI.TP1121399","1","1542224","-0.0263","0.4302","A"
"1","Trait1","mrMLM","PstI.TP1031399","1","1661159","-2.7704e-05","0.0077","C"
"1","Trait1","mrMLM","NsiI.TP796534","1","1682668","3.1404e-06","9e-04","A"
"1","Trait1","mrMLM","NsiI.TP709976","1","1682685","1.7945e-05","0.005","A"
"1","Trait1","mrMLM","PstI.TP929619","1","1952038","1.695e-05","0.0047","A"
"1","Trait1","mrMLM","PstI.TP417865","1","2030761","1.7124e-05","0.0047","C"
"1","Trait1","mrMLM","NsiI.TP666080","1","2031570","-0.0203","0.3645","C"
"1","Trait1","mrMLM","PstI.TP885267","1","2084430","-5.1732e-07","1e-04","A"
"1","Trait1","mrMLM","PstI.TP1294018","1","2280325","-5.0924e-06","0.0014","C"
"1","Trait1","mrMLM","PstI.TP56795","1","2315051","-1.2667e-05","0.0035","G"
"1","Trait1","mrMLM","PstI.TP653218","1","2466683","-1.9474e-05","0.0054","A"
"1","Trait1","mrMLM","PstI.TP108989","1","2588793","-0.2297","6.3543","C"
"1","Trait1","mrMLM","PstI.TP966432","1","2596832","4.9841e-06","0.0014","A"
"1","Trait1","mrMLM","NsiI.TP486649","1","2601704","8.2403e-06","0.0023","A"
"1","Trait1","mrMLM","PstI.TP441536","1","2816855","-0.0056","0.2014","C"
"1","Trait1","mrMLM","PstI.TP1085601","1","2820903","0.0274","0.3745","A"
"1","Trait1","mrMLM","PstI.TP525202","1","2884119","-0.0688","1.1554","A"
"1","Trait1","mrMLM","PstI.TP1268585","1","2988383","0.024","0.3882","C"
"1","Trait1","mrMLM","PstI.TP266209","1","3006594","-2.2039e-05","0.0061","A"
"1","Trait1","mrMLM","PstI.TP849876","1","3050119","2.8098e-05","0.0078","C"
"1","Trait1","mrMLM","PstI.TP66009","1","3078783","8.9146e-07","2e-04","A"
"1","Trait1","mrMLM","PstI.TP209693","1","3305106","-9.6259e-06","0.0027","A"
"1","Trait1","mrMLM","PstI.TP626124","1","3342723","1.1608e-05","0.0032","A"
"1","Trait1","mrMLM","PstI.TP1059573","1","3357749","-2.4764e-05","0.0069","A"
"1","Trait1","mrMLM","NsiI.TP504485","1","3381640","-0.0786","1.0463","A"
"1","Trait1","mrMLM","PstI.TP1243055","1","3389055","-1.7985e-05","0.005","A"
"1","Trait1","mrMLM","PstI.TP1244443","1","3397749","0.0276","0.4827","C"
"1","Trait1","mrMLM","NsiI.TP24278","1","3414839","-1.2789e-05","0.0035","A"
"1","Trait1","mrMLM","PstI.TP1199997","1","3471828","1.1548e-05","0.0032","C"
"1","Trait1","mrMLM","PstI.TP757375","1","3471897","-7.5564e-06","0.0021","A"
"1","Trait1","mrMLM","PstI.TP726521","1","3535515","-2.2152e-05","0.0061","C"
"1","Trait1","mrMLM","PstI.TP374511","1","3576636","4.0165e-05","0.0112","A"
"1","Trait1","mrMLM","PstI.TP1267977","1","3576713","1.2512e-06","3e-04","A"
"1","Trait1","mrMLM","PstI.TP1155202","1","3620639","0.1276","1.9741","A"
"1","Trait1","mrMLM","PstI.TP12228","1","3683456","0.0077","0.1647","C"
"1","Trait1","mrMLM","PstI.TP961085","1","3705536","0.0459","1.2087","A"
"1","Trait1","mrMLM","PstI.TP21889","1","3705780","3.2853e-05","0.0092","A"
"1","Trait1","mrMLM","PstI.TP1053336","1","3955998","9.9767e-06","0.0028","A"
"1","Trait1","mrMLM","NsiI.TP403662","1","3957731","0.0883","1.8191","A"
"1","Trait1","mrMLM","PstI.TP891020","1","4033768","4.1383e-06","0.0011","G"
"1","Trait1","mrMLM","PstI.TP629259","1","4276027","2.4614e-05","0.0068","C"
"1","Trait1","mrMLM","PstI.TP629254","1","4276045","-9.1569e-06","0.0025","A"
"1","Trait1","mrMLM","PstI.TP736289","1","4314719","1.1991e-05","0.0033","A"
"1","Trait1","mrMLM","PstI.TP820611","1","4393513","-0.0487","0.5169","A"
