"","Name","Chromosome","Position","OWA18","OWA19","rrBLUP.OWA18","rrBLUP.OWA19"
"11513","NsiI.TP620354",1,2563,0,0,1,1
"26733","PstI.TP453248",1,3988,0,0,1,1
"166","GFSSContig17137_1860",1,35412,0,0,1,1
"167","GFSSContig17137_940",1,36536,0.0910347865383899,0.365829474712256,0.810896103314098,0.43069568952075
"17884","PstI.TP1112203",1,63590,0.437544885867669,0.270207296573689,0.36513638717012,0.536775522593964
"27575","PstI.TP506588",1,80675,0,0,1,1
"35082","PstI.TP989644",1,80828,0.123312699237136,0.0663760349637907,0.752813330452513,0.858270064407031
"24404","PstI.TP312105",1,81356,0.143317630953857,0.138129932298356,0.718922985322023,0.727562099816875
"8429","NsiI.TP481742",1,154583,0.136326970027987,0.437166553836864,0.730588833347605,0.365454611290128
"33021","PstI.TP863331",1,161269,1.14831099651395,0.214077112544234,0.0710704398855142,0.610833556772468
"13510","NsiI.TP71772",1,180079,1.78981193809852,0.359637884481106,0.0162251253948056,0.436879951705597
"11286","NsiI.TP611047",1,185165,0,0,1,1
"11285","NsiI.TP611046",1,185173,0.0658339959414059,0.108424191959232,0.85934193228178,0.779068792621521
"18897","PstI.TP1169914",1,194807,0,0,1,1
"15925","NsiI.TP96063",1,195779,0.492787840899561,0.381694153899432,0.32152308415589,0.415246371410587
"9477","NsiI.TP521153",1,258294,0.33225086894669,1.52578075915765,0.465317226730196,0.0298002042575656
"23766","PstI.TP271714",1,262844,0.176162270703844,0.285226791920823,0.666557668669735,0.518529188282197
"26335","PstI.TP424788",1,263370,0,0,1,1
"32080","PstI.TP811380",1,281841,1.06784751505107,0.880942269940844,0.0855366987702429,0.131539967451063
"34198","PstI.TP931820",1,284314,0,0,1,1
"6848","NsiI.TP426085",1,284999,0,0,1,1
"1313","NsiI.TP148773",1,285352,0.0432587669716451,0.0209520541913015,0.905193096294527,0.952901357863933
"1314","NsiI.TP148774",1,285397,0,0,1,1
"24197","PstI.TP301730",1,298129,0.876445494560185,0.257383632760222,0.132909035203541,0.55286152484194
"30292","PstI.TP710662",1,335281,0,0,1,1
"10713","NsiI.TP579900",1,335878,0,0,1,1
"16709","PstI.TP1043924",1,365760,0.118948053363731,0.462799725917055,0.760417226184085,0.344508763705751
"16710","PstI.TP1043926",1,365816,0.640964543724294,0.279650298773598,0.228578540977464,0.525230214231224
"6445","NsiI.TP414280",1,378096,0.25958374556078,0.0796033141508053,0.550067839997629,0.832523853640367
"15194","NsiI.TP807695",1,389941,0.138897301221676,0.0237151700481951,0.726277681957275,0.94685795001552
"12942","NsiI.TP687955",1,398596,0,0,1,1
"34491","PstI.TP948856",1,403321,0.383058029399514,0.00940368080200423,0.413944360859788,0.978579963265559
"16587","PstI.TP1037554",1,403777,0.449871185448356,0.298816430932737,0.354918644788146,0.502554966275895
"17810","PstI.TP1106845",1,416796,0,0,1,1
"812","NsiI.TP122940",1,430012,1.39669096698004,0.101160028690326,0.0401152065802997,0.792209363641583
"13231","NsiI.TP703893",1,450123,0.713536164144514,0.0784405894215586,0.19340328030294,0.834755733308594
"16420","PstI.TP1026667",1,480929,0,0,1,1
"6430","NsiI.TP413787",1,481003,0.227426751456387,0.0798543126970922,0.59234298361424,0.832042839229768
"10912","NsiI.TP591161",1,512907,0.0586326784091798,0.0575401368542758,0.87371003049249,0.875910763513883
"3473","NsiI.TP260303",1,526218,0.331350949241433,0.0164418344622632,0.466282429631828,0.962848959758563
"1533","NsiI.TP160827",1,542721,0.635988906025012,0.17198650832992,0.231212385221215,0.672997563112357
"26340","PstI.TP425356",1,569039,0.430401020420071,0.691829124834879,0.371192317888145,0.203315680849892
